scope,profile,motion,episodes,success_rate,oscillation_rate,mean_minimum_distance_m,mean_maximum_command_reversal_rate_hz,mean_acceleration_jerk_rms_mps3,mean_agent_visible_fraction,mean_all_agents_lost_fraction,mean_absolute_range_error_fraction,range_error_over_20_percent_fraction
multi,legacy,line,50,1.0,1.0,0.21350965263042634,5.278500290355819,27.745718342073054,0.9995265460123318,0.0,0.13686741462822938,0.22857548042336176
multi,legacy,cosine,50,1.0,1.0,0.3165229008006652,5.026609305494649,26.852670762247836,0.9976583944748719,0.00020202020202020205,0.13381912873073623,0.22096780039900715
multi,legacy,arc,50,1.0,1.0,0.2035911368883892,5.113841881592932,27.344452864353634,0.9983788590399014,0.0,0.13195070073459195,0.22282744650350228
multi,legacy,random,50,1.0,1.0,0.24585022054945568,5.159097900104195,27.830293782414227,0.9993564706851232,0.0,0.13414876923217744,0.22276540500395076
multi,legacy,multi_sine,50,0.24,1.0,1.6163252224442097,2.703084003917128,19.437096942188997,0.5895791962999868,0.4002253575342449,0.13351015385808387,0.2244332608122402
multi,legacy,bspline,50,0.86,1.0,0.3995970128201041,4.63632521644436,25.248840522089363,0.9261327559873286,0.07066948811729783,0.1334070666999934,0.22657398092626577
multi,legacy,overall,300,0.85,1.0,0.4992326910222084,4.652909766318181,25.74317886922785,0.918438703749924,0.07851614430892714,0.13395053898063536,0.224357229011388
multi,stable,line,50,1.0,0.38,0.32107001210383423,0.39195593747820906,1.605848327208593,0.9980023020752666,0.0,0.1371434055494799,0.2302274955145177
multi,stable,cosine,50,0.88,0.74,0.4144895840716232,0.50294975259013,2.5705321854447134,0.9265000562527891,0.06048710135374142,0.1337769995708033,0.22054266801317762
multi,stable,arc,50,0.98,0.96,0.34304047577961116,0.6507711996122449,2.650183034921821,0.9528364389233982,0.012217216008139225,0.13235565283612263,0.2245245442742554
multi,stable,random,50,1.0,0.78,0.34408079190653273,0.5340744193846393,2.1470051333945777,0.9907534244862429,0.0003572567783094099,0.13438433268054417,0.2238852389904244
multi,stable,multi_sine,50,0.26,0.14,1.7362698381061556,0.28268374528409307,2.9103918376479476,0.5915667259805918,0.39481312277636704,0.13525718421929844,0.2274178423328498
multi,stable,bspline,50,0.84,0.66,0.5007460332034296,0.47872900378137195,2.382378796283147,0.8861949186365295,0.08320185997159343,0.13450194354155864,0.22741923724290072
multi,stable,overall,300,0.8266666666666667,0.61,0.6099494558618643,0.47352734302178134,2.3777232191501336,0.8909756443924698,0.09184609281469175,0.13456991973296786,0.2256695043946876
multi,conservative,line,50,0.86,0.0,0.3970964503445396,0.12489766837980916,1.2932400754395577,0.9219714496179706,0.07184411803093507,0.136926985965795,0.22959527164429017
multi,conservative,cosine,50,0.74,0.06,0.5292223307635711,0.19382225129535205,2.15530489049285,0.8572303003853508,0.1370864460708278,0.1333618080258952,0.21992285647149132
multi,conservative,arc,50,0.92,0.24,0.40258137320684395,0.3279607000280093,1.9717024535787804,0.9367073416140728,0.04454124797785095,0.13231815720454754,0.22458416943569026
multi,conservative,random,50,0.64,0.06,0.6155231090672969,0.16727174358241106,1.9572465898348093,0.8052536190760413,0.18630939834348204,0.13421179367870084,0.223903436547394
multi,conservative,multi_sine,50,0.08,0.0,2.7416373342729368,0.10701637275629924,2.2890965207442813,0.4889862812200729,0.49260005360445774,0.1354010956514864,0.2276795582634429
multi,conservative,bspline,50,0.5,0.02,0.8467369048190241,0.1548458472784708,2.0410522424405495,0.7251155386197454,0.26564618245442,0.13406778994964663,0.22713195033018146
multi,conservative,overall,300,0.6233333333333333,0.06333333333333334,0.9221329170790356,0.17930243055339196,1.9512737954218047,0.7892107550888756,0.19967124108032894,0.13438127174601192,0.22546954044874837
multi,flight_test,line,50,0.98,0.02,0.3839449547855229,0.13174798497260323,0.40425788602650875,0.9837730540714147,0.010389610389610388,0.13697408099557,0.22878916547423522
multi,flight_test,cosine,50,0.02,0.0,1.65670227709509,0.07593868411418744,2.336885841780535,0.4805019974944241,0.5137886569717403,0.13411190919415986,0.22179980651386072
multi,flight_test,arc,50,0.18,0.0,1.0991049826404353,0.08856056608425267,2.188807485213144,0.5644980116012155,0.42899242163392076,0.1319440429242998,0.22250980502022585
multi,flight_test,random,50,0.12,0.0,1.4410854494274872,0.088071295706494,1.7859645086357943,0.525394170371387,0.4663614244084725,0.13468510933195155,0.22459780400487406
multi,flight_test,multi_sine,50,0.1,0.0,3.8330513181377537,0.09215874045768578,2.0293734318303214,0.5030003256212298,0.48151819505487653,0.1356556581448898,0.22851794457295813
multi,flight_test,bspline,50,0.12,0.02,1.8281116583439958,0.09461266559636221,2.051314907822075,0.5289189342655441,0.46220665936560906,0.1347909879908999,0.22904696412101622
multi,flight_test,overall,300,0.25333333333333335,0.006666666666666667,1.7070001067383809,0.09518165615526424,1.799434010218063,0.5976810822375359,0.3938761613040383,0.13469363143029517,0.22587691495119505
