scope,profile,motion,seed,success,minimum_distance_m,oscillatory,maximum_command_reversal_rate_hz,mean_acceleration_jerk_rms_mps3,agent_visible_fraction,all_agents_lost_fraction,mean_absolute_range_error_fraction,range_error_over_20_percent_fraction
single,legacy,line,2026081801,1,0.12887442699480697,1,4.387755102040816,25.965927549621394,1.0,0.0,0.1393633772490041,0.23931623931623933
single,legacy,line,2026081802,1,0.3623961634428944,1,4.903846153846153,30.121381068770805,0.9919354838709677,0.008064516129032258,0.1359240404851726,0.26229508196721313
single,legacy,line,2026081803,1,0.27891508972825385,1,5.0724637681159415,26.443931420809104,1.0,0.0,0.17218579452967764,0.31210191082802546
single,legacy,line,2026081804,1,0.1948084681711938,1,5.242718446601941,31.679717782729195,1.0,0.0,0.14858892840195714,0.27049180327868855
single,legacy,line,2026081805,1,0.30306436453558294,1,3.8235294117647056,27.649015414337356,1.0,0.0,0.10453084878481203,0.1724137931034483
single,legacy,line,2026081806,1,0.06654633740968031,1,4.512195121951219,27.380107755565852,1.0,0.0,0.12465540968496483,0.2079207920792079
single,legacy,line,2026081807,1,0.07428764609026471,1,4.779411764705882,25.335214613363537,1.0,0.0,0.12216550590682322,0.16774193548387098
single,legacy,line,2026081808,1,0.29733374477614954,1,4.827586206896552,29.649640093242148,1.0,0.0,0.1510746244214055,0.27439024390243905
single,legacy,line,2026081809,1,0.12245477721763343,1,5.14018691588785,28.505848080030294,1.0,0.0,0.13844361761263352,0.25396825396825395
single,legacy,line,2026081810,1,0.29845748928143434,1,4.411764705882352,27.85060988479137,1.0,0.0,0.10565677812867262,0.16091954022988506
single,legacy,line,2026081811,1,0.1567229926086588,1,4.555555555555555,27.578452431165573,1.0,0.0,0.1380263740464297,0.23853211009174313
single,legacy,line,2026081812,1,0.36258299156693524,1,4.9572649572649565,29.399062946515762,0.9927007299270073,0.0072992700729927005,0.1508934376231521,0.2814814814814815
single,legacy,line,2026081813,1,0.18962819973214326,1,4.888888888888889,27.383371581536434,1.0,0.0,0.1301503752035785,0.1926605504587156
single,legacy,line,2026081814,1,0.08363885801920214,1,4.6226415094339615,27.348649087739396,1.0,0.0,0.1719139567570752,0.344
single,legacy,line,2026081815,1,0.21595199333295476,1,4.7727272727272725,27.361337606505753,1.0,0.0,0.12872147769246403,0.19626168224299065
single,legacy,line,2026081816,1,0.08587658763067141,1,4.556962025316455,29.261985370567945,1.0,0.0,0.12231388334373558,0.19387755102040816
single,legacy,line,2026081817,1,0.23722596345234162,1,5.051546391752577,29.03524895133361,1.0,0.0,0.1463599546835769,0.2413793103448276
single,legacy,line,2026081818,1,0.3947062810235867,1,4.7368421052631575,28.197343038905863,0.9925373134328358,0.007462686567164179,0.15490843003484792,0.29545454545454547
single,legacy,line,2026081819,1,0.05448438866991106,1,4.536082474226804,26.62988674242137,1.0,0.0,0.1172479009512999,0.16379310344827586
single,legacy,line,2026081820,1,0.23446201336240546,1,4.3478260869565215,26.058328318150874,0.9887640449438202,0.011235955056179775,0.10519563739963306,0.14942528735632185
