scope,profile,motion,episodes,success_rate,oscillation_rate,mean_minimum_distance_m,mean_maximum_command_reversal_rate_hz,mean_acceleration_jerk_rms_mps3,mean_agent_visible_fraction,mean_all_agents_lost_fraction,mean_absolute_range_error_fraction,range_error_over_20_percent_fraction
single,legacy,line,100,0.99,0.98,0.2201387972285167,4.801139226511894,27.57925994619736,0.9927423528612458,0.007257647138754365,0.13406763413422204,0.22728062725671833
single,legacy,cosine,100,0.82,0.98,0.3794297571870214,4.225388707844452,25.551050230530706,0.9063372772818462,0.09366272271815362,0.13586530217992643,0.23038982711299305
single,legacy,arc,100,0.95,0.99,0.2841214860803505,4.604014048657576,26.584322507494495,0.9716284297450537,0.028371570254946264,0.13499713142858774,0.23181603807274517
single,legacy,random,100,0.94,0.99,0.28699499046398474,4.622960521266294,26.826605469253604,0.9663417915938792,0.0336582084061208,0.1339057311038099,0.22860504545663984
single,legacy,multi_sine,100,0.22,0.98,1.8450210125488515,2.4515925802414493,19.12856220985988,0.5848233396664508,0.41517666033354916,0.1374467999494117,0.23842095629060975
single,legacy,bspline,100,0.78,0.98,0.5403376415087987,4.070087279092515,24.701092992043115,0.8853988098734411,0.11460119012655896,0.13745923485060968,0.23562166383051253
single,legacy,overall,600,0.7833333333333333,0.9833333333333333,0.5926739475029208,4.129197060602364,25.06181555922986,0.8845453335036527,0.11545466649634721,0.13562363894109458,0.2320223596700364
single,stable,line,100,0.92,0.11,1.4562322568774198,0.2549225029125298,1.8129267700825706,0.9391109710165584,0.060889028983441625,0.14026137540965486,0.24191110751764422
single,stable,cosine,100,0.58,0.33,1.2513097902163381,0.3162948606282649,2.442201443591043,0.77174892242323,0.22825107757677002,0.13832514138184465,0.2367407414474534
single,stable,arc,100,0.65,0.58,1.843946239011744,0.4264200590252817,2.5214496101374837,0.7906893503198275,0.20931064968017254,0.14036146128242413,0.2509357646624403
single,stable,random,100,0.78,0.34,1.6107738027650913,0.33243634427104934,2.188014168253569,0.8665810816795421,0.13341891832045782,0.13792868370132266,0.2428370704196761
single,stable,multi_sine,100,0.12,0.05,2.140348610518941,0.1952910336156376,2.7110364089017818,0.52114423449986,0.47885576550014003,0.1405359563730334,0.24521758191422616
single,stable,bspline,100,0.53,0.2,2.0868675547847513,0.2631305970340184,2.3546155879805495,0.7334254712368268,0.2665745287631733,0.14319209316411072,0.24344967097768522
single,stable,overall,600,0.5966666666666667,0.2683333333333333,1.731579709029047,0.29808256624779694,2.338373998157833,0.7704500051959741,0.22954999480402585,0.14010078521873173,0.24351532282318752
single,conservative,line,100,0.71,0.0,0.9648227335584321,0.08497756902081903,0.9957075097480363,0.8384385970201659,0.1615614029798341,0.13708063529533332,0.23620394445487272
single,conservative,cosine,100,0.45,0.0,0.6524525396854743,0.11461983773570336,2.1712585096681254,0.7123104900639917,0.28768950993600834,0.1362792909696512,0.23250954840701968
single,conservative,arc,100,0.57,0.05,1.230798512618548,0.17499246031661245,1.9959073811674364,0.7665414751171613,0.2334585248828388,0.13760542991480834,0.24173188618571487
single,conservative,random,100,0.23,0.0,2.0618406175149158,0.076055553839102,1.929441529098848,0.5714446140315025,0.4285553859684974,0.13975032605793827,0.24222137670102323
single,conservative,multi_sine,100,0.03,0.0,3.7407155834985755,0.08106042277305635,2.3385067387477876,0.46764390526018373,0.5323560947398163,0.14226791712025816,0.2494374357597873
single,conservative,bspline,100,0.32,0.0,1.4807013945102816,0.10196853136013954,2.0006508447993965,0.6372830683516412,0.36271693164835866,0.13962593827895,0.23961100751187137
single,conservative,overall,600,0.385,0.008333333333333333,1.6885552302310376,0.10561239584090545,1.9052454188716046,0.6656103583074411,0.3343896416925589,0.13876825627282321,0.24028586650338155
single,flight_test,line,100,0.9,0.0,0.5533075541709256,0.08580179334393433,0.3868751659668318,0.9423374869573804,0.05766251304261954,0.1359228913912086,0.2303232306000903
single,flight_test,cosine,100,0.0,0.0,1.91165078142737,0.0634482421407247,2.340761812005413,0.47686906664761686,0.5231309333523831,0.13779962536699572,0.23500437110446207
single,flight_test,arc,100,0.15,0.0,1.3588286666577252,0.07320834979757708,2.2979338897126356,0.5547012341191561,0.44529876588084394,0.135950507474442,0.23321416847397827
single,flight_test,random,100,0.06,0.0,1.6366919398114834,0.06006002604576759,1.7989723191817117,0.5016307490067347,0.49836925099326534,0.13624157588348637,0.23313908266714897
single,flight_test,multi_sine,100,0.01,0.0,4.766414657404702,0.06664402024153537,1.9731905083694337,0.45964700195131797,0.540352998048682,0.14323665633619048,0.25155675124422133
single,flight_test,bspline,100,0.04,0.0,2.0857673929509173,0.06283757971244285,2.1512964385150757,0.49514711958376245,0.5048528804162375,0.13965826126522957,0.23884860015256837
single,flight_test,overall,600,0.19333333333333333,0.0,2.052110165403854,0.06866666854699699,1.8248383556251835,0.5717221097109948,0.42827789028900526,0.13813491961959212,0.23701436737374487
